,channel,name,pitch,tempo,note_midi_value,note_velocity,note_time,note_seconds,octave,note_value,note_name,angle
27,0.0,,,,50.0,95.0,46080,48.0,4.0,2.0,D,60
28,0.0,,,,43.0,95.0,46080,48.0,3.0,7.0,C#,210
31,0.0,,,,50.0,95.0,46080,48.0,4.0,2.0,D,60
32,0.0,,,,43.0,95.0,46080,48.0,3.0,7.0,C#,210
35,0.0,,,,50.0,95.0,46080,48.0,4.0,2.0,D,60
36,0.0,,,,43.0,95.0,46080,48.0,3.0,7.0,C#,210
39,0.0,,,,50.0,95.0,46080,48.0,4.0,2.0,D,60
40,0.0,,,,43.0,95.0,46080,48.0,3.0,7.0,C#,210
43,0.0,,,,50.0,95.0,46080,48.0,4.0,2.0,D,60
44,0.0,,,,43.0,95.0,46080,48.0,3.0,7.0,C#,210
47,0.0,,,,50.0,95.0,46080,48.0,4.0,2.0,D,60
48,0.0,,,,43.0,95.0,46080,48.0,3.0,7.0,C#,210
51,0.0,,,,50.0,95.0,46080,48.0,4.0,2.0,D,60
52,0.0,,,,43.0,95.0,46080,48.0,3.0,7.0,C#,210
55,0.0,,,,50.0,95.0,46080,48.0,4.0,2.0,D,60
56,0.0,,,,43.0,95.0,46080,48.0,3.0,7.0,C#,210
59,0.0,,,,45.0,95.0,46080,48.0,3.0,9.0,D#,270
60,0.0,,,,40.0,95.0,46080,48.0,3.0,4.0,E,120
63,0.0,,,,45.0,95.0,46080,48.0,3.0,9.0,D#,270
64,0.0,,,,40.0,95.0,46080,48.0,3.0,4.0,E,120
67,0.0,,,,52.0,95.0,46080,48.0,4.0,4.0,E,120
68,0.0,,,,45.0,95.0,46080,48.0,3.0,9.0,D#,270
69,0.0,,,,40.0,95.0,46080,48.0,3.0,4.0,E,120
73,0.0,,,,52.0,95.0,46080,48.0,4.0,4.0,E,120
74,0.0,,,,45.0,95.0,46080,48.0,3.0,9.0,D#,270
75,0.0,,,,40.0,95.0,46080,48.0,3.0,4.0,E,120
79,0.0,,,,57.0,95.0,46080,48.0,4.0,9.0,D#,270
80,0.0,,,,52.0,95.0,46080,48.0,4.0,4.0,E,120
81,0.0,,,,45.0,95.0,46080,48.0,3.0,9.0,D#,270
82,0.0,,,,40.0,95.0,46080,48.0,3.0,4.0,E,120
87,0.0,,,,61.0,95.0,46080,48.0,5.0,1.0,G,30
88,0.0,,,,57.0,95.0,46080,48.0,4.0,9.0,D#,270
89,0.0,,,,52.0,95.0,46080,48.0,4.0,4.0,E,120
90,0.0,,,,45.0,95.0,46080,48.0,3.0,9.0,D#,270
91,0.0,,,,40.0,95.0,46080,48.0,3.0,4.0,E,120
97,0.0,,,,64.0,95.0,46080,48.0,5.0,4.0,E,120
98,0.0,,,,61.0,95.0,46080,48.0,5.0,1.0,G,30
99,0.0,,,,57.0,95.0,46080,48.0,4.0,9.0,D#,270
100,0.0,,,,52.0,95.0,46080,48.0,4.0,4.0,E,120
101,0.0,,,,45.0,95.0,46080,48.0,3.0,9.0,D#,270
102,0.0,,,,40.0,95.0,46080,48.0,3.0,4.0,E,120
109,0.0,,,,64.0,95.0,46080,48.0,5.0,4.0,E,120
110,0.0,,,,61.0,95.0,46080,48.0,5.0,1.0,G,30
111,0.0,,,,57.0,95.0,46080,48.0,4.0,9.0,D#,270
112,0.0,,,,52.0,95.0,46080,48.0,4.0,4.0,E,120
113,0.0,,,,45.0,95.0,46080,48.0,3.0,9.0,D#,270
114,0.0,,,,40.0,95.0,46080,48.0,3.0,4.0,E,120
115,0.0,,,,57.0,95.0,46290,48.21875,4.0,9.0,D#,270
116,0.0,,,,52.0,95.0,46290,48.21875,4.0,4.0,E,120
117,0.0,,,,45.0,95.0,46290,48.21875,3.0,9.0,D#,270
127,0.0,,,,64.0,95.0,46290,48.21875,5.0,4.0,E,120
128,0.0,,,,59.0,95.0,46290,48.21875,4.0,11.0,F,330
129,0.0,,,,52.0,95.0,46290,48.21875,4.0,4.0,E,120
133,1.0,,,,64.0,95.0,46290,48.21875,5.0,4.0,E,120
